"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14"
"11","АО ПФ «СКБ Контур» Диадок","6663003127","667101001","действующий","2028-03-03 00:00:00","2BM","imns@skbkontur.ru","8(800)500-1018","https://kontur.ru, https://diadoc.kontur.ru","действующий","2028-03-03 00:00:00","1BM","imns@skbkontur.ru","8(800)500-5080","https://kontur.ru, https://diadoc.kontur.ru"
"12","ООО Оператор-ЦРПТ","7731376812","770301001","действующий","2026-09-25 00:00:00","2LT","support@crpt.ru","8(800)222-1523","https://markirovka.crpt.ru/login-kep","Услуга не оказывается","nan","nan","nan","nan","nan"
"13","ООО Гетфинанс","9731027452","773101001","действующий","2026-08-26 00:00:00","2LU","info@getfinance.ru","8(800)500-6852","https://getfinance.ru/documents/#tab-operator-edo","Услуга не оказывается","nan","nan","nan","nan","nan"
"14","ООО Центр Бухгалтерских Услуг","2315096691","231501001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2026-12-02 00:00:00","1AU","courier@couriern.ru","8(8617)670430","https://cacbu.ru"
"15","ООО Фалькон Плюс","2901063507","290101001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2026-08-26 00:00:00","1FB","otp@falconplus.ru","8(8182)68-4812","https://falconplus.ru/"
"16","ООО СберКорус","7801392271","781601001","действующий","2026-06-11 00:00:00","2BK","help@esphere.ru","8(800)100-8812","https://www.esphere.ru","действующий","2026-06-11 00:00:00","1BK","help@esphere.ru","8(800)100-8812","https://www.esphere.ru"
"17","АО Калуга-Астрал / 1С-ЭДО","4029017981","402901001","действующий","2026-04-09 00:00:00","2AE","tpedo@astral.ru","8(800)551-8036","https://astral.ru/products/astral-edo/","действующий","2026-04-09 00:00:00","1AE","support@astral.ru","8(800)700-9889","https://astral.ru/products/astral-otchet-5-0/"
"18","ООО КДС","5754003919","575301001","действующий","2028-03-03 00:00:00","2GP","v.gavrikov@kds.center","8(4862)599999","https://кдс.рф","действующий","2028-03-03 00:00:00","1GP","v.gavrikov@kds.center","8(4862)599999","https://кдс.рф"
"19","АО НТЦ СТЭК","7451019159","745301001","действующий","2026-04-09 00:00:00","2BA","support@stek-trust.ru","8(351)7299552","http://www.stek-trust.ru/","действующий","2026-04-09 00:00:00","1BA","support@stek-trust.ru","8(351)7299552","http://www.stek-trust.ru/"
"20","ООО КРИПТЭКС","6315629971","631501001","действующий","2028-03-03 00:00:00","2HX","ooo@cryptex.pro","8(800)500-7944","https://cryptex.pro/","действующий","2028-03-03 00:00:00","1HX","ooo@cryptex.pro","8(800)500-7944","https://cryptex.pro/"
"21","ООО Факторин","7704459971","770401001","действующий","2026-10-23 00:00:00","2LV","help@factorin.ru","8(495)5323767","https://factorin.ru/","Услуга не оказывается","nan","nan","nan","nan","nan"
"22","ООО АйтиКом","7714407563","771701001","действующий","2026-09-25 00:00:00","2MD, 2MO","support_edo@itcomgk.ru","8(800)333-0730","https://uc-itcom.ru/","Услуга не оказывается","nan","nan","nan","nan","nan"
"23","ООО Эдивеб","7801471082","780101001","действующий","2026-09-25 00:00:00","2IJ","support@ediweb.com","8(812)309-3579","https://ediweb.com/ru-ru","Услуга не оказывается","nan","nan","nan","nan","nan"
"24","АО НИИАС","7709752846","770901001","действующий","2026-08-26 00:00:00","2JD","helpedo@pkitrans.ru","8(499)262-8805","https://edo.pkitrans.ru/kedo","Услуга не оказывается","nan","nan","nan","nan","nan"
"25","ООО ИИТ","7708713259","770801001","действующий","2026-09-25 00:00:00","2JH","vasiliy.glazunov@iit.ru","8(925)493-4409","https://iit.ru/","Услуга не оказывается","nan","nan","nan","nan","nan"
"26","OOO «ПС СТ» («ПЕТЕР-СЕРВИС Спецтехнологии»), (OFD.ru), ЭДО. Поток","7841465198","772501001","действующий","2026-04-09 00:00:00","2PS","edo@edo.ru","8(800)550-9911","https://edo.ru/","действующий","2026-04-09 00:00:00","1PS","edo@edo.ru","8(800)550-9911","https://edo.ru/"
"27","ООО СИСЛИНК","7743801719","774301001","действующий","2026-12-02 00:00:00","2JM","edi@doclink.ru","8(495)363-0205","https://doclink.ru/","Услуга не оказывается","nan","nan","nan","nan","nan"
"28","ООО АТИ-Доки","7802866157","780201001","действующий","2026-09-25 00:00:00","2MC","roaming@ati.su","8(812)602-0109","https://d.ati.su/","Услуга не оказывается","nan","nan","nan","nan","nan"
"29","ООО Компьютерные технологии","3234042788","325701001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2026-10-23 00:00:00","1FQ","kostrominsv@ipct.ru","8(4832)674-676","http://www.ipct.ru/"
"30","ООО НТСсофт","6670237020","667001001","действующий","2027-03-23 00:00:00","2JF","edo@ntssoft.ru","8(343)375-7750","https://edo.mig24.ru","Исключен","2024-04-09 00:00:00","1JF","nan","nan","nan"
"31","АО ЕЭТП","7707704692","772501001","действующий","2026-10-23 00:00:00","2IM","info@roseltorg.ru","8(495)150-2020","https://docs.roseltorg.ru/","Услуга не оказывается","nan","nan","nan","nan","nan"
"32","ООО ФораПром","7723815417","772401001","действующий","2026-09-25 00:00:00","2LH","sd@leradata.ru","8(800)555-9626","https://business.leradata.pro/","Услуга не оказывается","nan","nan","nan","nan","nan"
"33","ООО Сберключ","7707752230","770401001","действующий","2027-06-12 00:00:00","2LQ","support@sberkey.ru","8(495)539-2550","https://www.sberkey.ru/edo","Исключен","2024-07-23 00:00:00","1LQ","nan","nan","nan"
"34","ООО ЭТП ГПБ","7724514910","772801001","действующий","2026-10-23 00:00:00","2LB","edo@etpgpb.ru","8(800)100-6622","https://etpgpb.ru/edo/","Услуга не оказывается","nan","nan","nan","nan","nan"
"35","ООО ИЦ Выбор","6730025009","673001001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2027-01-11 00:00:00","1DI","info@icvibor.ru","8(4812)701-201","http://icvibor.ru/"
"36","ООО АРЦИС Г. ПЕНЗЫ","5800009883","580001001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2027-01-11 00:00:00","1ER","teh@arcis.ru","8(8412)682-010","http://arcis.ru/"
"37","АО Точка","9705120864","770401001","действующий","2026-12-16 00:00:00","2MH","oedo@tochka-bank.su","8(800)2000024","https://tochka.com/document-flow/","действующий","2026-12-16 00:00:00","1MH","oedo@tochka-bank.su","8(800)2000024","https://tochka.com/accounting/"
"38","ООО ТЕЛ","2465097373","246501001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2027-01-11 00:00:00","1FA","clon@tel124.ru","8(3912)743-336","http://www.nalog.scn.ru/"
"39","КрвФ АО ЦентрИнформ","7841051711","434543001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2026-08-26 00:00:00","1CH","support@atlasnet.ru","8(833)221-2818","https://www.r43.center-inform.ru/"
"40","ООО Центр Информационных Технологий г. Уфа","277128392","27601001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2026-12-02 00:00:00","1LY","oksana@ciufa.ru","8(3472)000-855","https://www.cit-ufa.ru/"
"41","ООО Салон 2116 - электронный почтамт","4630004308","463201001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2027-01-11 00:00:00","1FW","info@docmail.ru","8(4712)514-227","https://docmail.ru/"
"42","АО Атлас-2","2536161885","253601001","Услуга не оказывается","nan","nan","nan","nan","nan","действующий","2027-01-11 00:00:00","1BF","info@atlas-2.ru","8(4232)620-262","https://atlas-2.ru/"
"43","АО ТЭК-Торг","7704824695","770401001","действующий","2027-01-11 00:00:00","2TT","help@tektorg.ru","8(495)734-8118","http://tektorg.ru","Услуга не оказывается","nan","nan","nan","nan","nan"
"44","ООО УЦ Белинфоналог","3123304163","312301001","действующий","2026-07-23 00:00:00","2LF","client@belinfonalog.ru","8(800)511-8281","http://www.belinfonalog.ru/","действующий","2026-07-23 00:00:00","1LF","317619@belinfonalog.ru","8(4722)232-702","http://www.belinfonalog.ru/"
"45","АО УДОСТОВЕРЯЮЩИЙ ЦЕНТР","7806122720","780601001","действующий","2026-07-23 00:00:00","2AB","5780196@nwudc.ru","8(812)578-0169","https://nwudc.ru/","действующий","2026-07-23 00:00:00","1AB","5780196@nwudc.ru","8(812)578-0196","https://nwudc.ru/"
"46","АО КОМИТА","7813061041","781301001","действующий","2028-01-26 00:00:00","2IA","5780196@comita.ru","8(812)578-0196","https://www.comita.ru/","действующий","2028-01-26 00:00:00","1IA","5780196@comita.ru","8(812)578-0196","https://comita.ru/"
"47","ООО Газпром информ","7727696104","780101001","действующий","2026-12-16 00:00:00","2LL","ServiceDesk@inform.gazprom.ru","8(495)7194588","https://inform.gazprom.ru/","действующий","2026-12-16 00:00:00","1LL","ServiceDesk@inform.gazprom.ru","8(495)7194588","https://inform.gazprom.ru/"
"48","ООО Айк Диджитал Медиа","7810999400","781001001","действующий","2027-07-26 00:00:00","2MJ","support@dikeyca.ru","8(495)105-9715","http://dikeyca.ru","Услуга не оказывается","nan","nan","nan","nan","nan"
"49","АО ЭСК","7709364346","770501001","действующий","2027-07-26 00:00:00","2KX","info@1-ofd.ru","8(495)221-0840","https://new.1-ofd.ru/edo","Услуга не оказывается","nan","nan","nan","nan","nan"
"50","ООО МЕТАЭРА","9726070491","772601001","действующий","2027-09-03 00:00:00","2ММ","info@metaera.ru","8(499)391-1721","https://metaera.ru/","Услуга не оказывается","nan","nan","nan","nan","nan"
"51","ЗАО ЦЭК","5260013152","nan","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2022-09-05 00:00:00","nan","nan","nan","nan"
"52","АО ЦентрИнформ","7841016636","nan","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2022-09-05 00:00:00","nan","nan","nan","nan"
"53","ООО Гвард-Информ","7107065081","nan","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2022-09-05 00:00:00","nan","nan","nan","nan"
"54","ООО МАСКОМ-Техлайн","2722050371","272201001","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2022-04-29 00:00:00","nan","nan","nan","nan"
"55","АНО БЕЛИНФОНАЛОГ","3123101188","nan","Исключен","2022-05-18 00:00:00","2BD","nan","nan","nan","Исключен","2022-05-18 00:00:00","nan","nan","nan","nan"
"56","ООО ЭЛБИС","4205011410","nan","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2022-05-18 00:00:00","nan","nan","nan","nan"
"57","ООО УЦ ГИС","7805544260","nan","Исключен","2022-05-18 00:00:00","2CN","nan","nan","nan","Исключен","2022-05-18 00:00:00","nan","nan","nan","nan"
"58","ООО ИМЦ","6317036857","nan","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2022-05-18 00:00:00","nan","nan","nan","nan"
"59","ООО ПРОФИ Менеджер","5031082309","nan","Исключен","2022-06-01 00:00:00","nan","nan","nan","nan","Исключен","2022-06-01 00:00:00","nan","nan","nan","nan"
"60","ООО ДИАС-К","7718950509","771801001","Исключен","2023-11-18 00:00:00","2MA","nan","nan","nan","Исключен","2022-06-01 00:00:00","nan","nan","nan","nan"
"61","АО Сервер-Центр","2539038819","nan","Исключен","2022-06-01 00:00:00","2BF","nan","nan","nan","Исключен","2022-06-01 00:00:00","nan","nan","nan","nan"
"62","ООО Удостоверяющий центр Тензор","7604094283","nan","Исключен","2022-06-01 00:00:00","2KO","nan","nan","nan","Услуга не оказывается","nan","nan","nan","nan","nan"
"63","ООО Сервионика","7727790940","773601001","Исключен","2022-12-06 00:00:00","2KL","nan","nan","nan","Услуга не оказывается","nan","nan","nan","nan","nan"
"64","АО ГНИВЦ","7733284010","997750001","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2023-06-30 00:00:00","1AS","nan","nan","nan"
"65","АО НУЦ","7722766598","772201001","Исключен","2023-01-16 00:00:00","2HU","nan","nan","nan","Исключен","2023-07-26 00:00:00","1HU","nan","nan","nan"
"66","ООО ДиСтэйт","7810732125","781001001","исключен","2024-01-19 00:00:00","2MB","nan","nan","nan","Услуга не оказывается","nan","nan","nan","nan","nan"
"67","АНО ИО Деловой вестник","3123082552","312301001","Услуга не оказывается","nan","nan","nan","nan","nan","исключен","2024-01-19 00:00:00","1KF","nan","nan","nan"
"68","ООО ВОСТКОМ","1435302087","143501001","Услуга не оказывается","nan","nan","nan","nan","nan","исключен","2024-01-19 00:00:00","1KZ","nan","nan","nan"
"69","ООО ИНЕТ","4205016288","420501001","Услуга не оказывается","nan","nan","nan","nan","nan","исключен","2024-01-19 00:00:00","1GX","nan","nan","nan"
"70","ООО СЗТЛС","7814325226","781401001","Исключен","2024-01-19 00:00:00","2JG","nan","nan","nan","Услуга не оказывается","nan","nan","nan","nan","nan"
"71","АО Энергоцентр","5036072424","503101001","Исключен","2024-05-13 00:00:00","2ML","nan","nan","nan","Услуга не оказывается","nan","nan","nan","nan","nan"
"72","ООО Виба","6670441516","667001001","Исключен","2023-01-16 00:00:00","2MG","nan","nan","nan","Исключен","2024-05-13 00:00:00","1MG","nan","nan","nan"
"73","ООО Мостинфо-Екатеринбург","6659140843","667001001","Исключен","2024-05-13 00:00:00","2CA","nan","nan","nan","Исключен","2024-05-13 00:00:00","1CA","nan","nan","nan"
"74","ООО Удостоверяющий центр Столица","9709042487","770701001","Исключен","2024-06-11 00:00:00","2ME","nan","nan","nan","Исключен","2024-06-11 00:00:00","1ME","nan","nan","nan"
"75","ООО ИРИС","7733261013","770801001","Исключен","2024-06-11 00:00:00","2LW","nan","nan","nan","Исключен","2024-06-11 00:00:00","1LW","nan","nan","nan"
"76","ООО ЕКЕЙ УЦ","7710964348","770601001","Исключен","2025-02-26 00:00:00","2BS","nan","nan","nan","Исключен","2025-02-26 00:00:00","1BS","nan","nan","nan"
"77","ООО УЦ СОЮЗ","7710963520","771001001","Исключен","2025-04-25 00:00:00","2KV","nan","nan","nan","Услуга не оказывается","nan","nan","nan","nan","nan"
"78","АО Эридан","3328419341","332701001","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2025-06-02 00:00:00","1EQ","nan","nan","nan"
"79","АО ЦИРМ","1326134964","132701001","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2025-06-02 00:00:00","1ES","nan","nan","nan"
"80","ООО УЦ Аском","2635049852","263501001","Исключен","2025-07-15 00:00:00","2AO, 2MF","nan","nan","nan","Исключен","2025-07-15 00:00:00","1AO","nan","nan","nan"
"81","ООО СМ","7719795020","772901001","Услуга не оказывается","nan","nan","nan","nan","nan","Исключен","2025-04-12 00:00:00","1SM","nan","nan","nan"
"82","ЗАО ТаксНет","1655045406","165501001","Исключен","2025-12-12 00:00:00","2AK","nan","nan","nan","Исключен","2024-06-11 00:00:00","1AK","nan","nan","nan"
"83","ООО Бифит ЭДО","7719443460","771901001","Исключен","2025-12-12 00:00:00","2LG","nan","nan","nan","Исключен","2024-07-23 00:00:00","1LG","nan","nan","nan"
